Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,DateTime,dayOfWeek,busyness_(%),Rain_(mm)
indian,male,fat,48.0,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,5,10,no,32.0,5.0,11.0,2.916453312,101.7460087,2.0,2015-10-20 21:44:10,Tuesday,25,5.21
indian,female,fat,42.0,no,no_kids,big,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,55.0,4.0,15.0,2.91001756,101.6719134,3.0,2015-10-20 22:04:52,Tuesday,40,5.21
foreigner ,male,moderate,54.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,9,no,20.0,4.0,16.0,2.965581773,101.6384887,3.0,2015-10-20 22:04:52,Tuesday,40,5.21
foreigner ,male,moderate,38.0,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,8,no,40.0,5.0,14.0,2.914720246,101.7026826,1.0,2015-10-20 22:10:28,Tuesday,40,5.21
chinese,female,thin,39.0,no,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,15.0,2.0,13.0,2.94670685,101.727935,3.0,2015-10-20 22:12:39,Tuesday,40,5.21
malay,male,thin,29.0,yes,toddler,big,black,casual,white,short_sleeve,blue_jeans,long,clothes,3,10,no,31.0,0.0,18.0,2.921287496,101.6791926,1.0,2015-10-20 22:20:42,Tuesday,40,5.21
indian,male,fat,43.0,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,36.0,0.0,11.0,2.903208575,101.6367534,3.0,2015-10-20 22:24:54,Tuesday,40,5.21
indian,female,fat,29.0,yes,young,small,white,casual,brown,short_sleeve,blue,long,clothes,5,8,no,56.0,4.0,21.0,2.918987501,101.6855577,1.0,2015-10-20 22:24:54,Tuesday,40,5.21
malay,female,thin,50.0,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,44.0,0.0,14.0,2.920738346,101.7324981,1.0,2015-10-20 22:37:12,Tuesday,40,5.21
indian,female,moderate,55.0,yes,baby,big,white,casual,blue,short_sleeve,brown,short,clothes,3,9,no,60.0,5.0,14.0,2.919032094,101.6630788,1.0,2015-10-20 22:59:55,Tuesday,40,5.21
indian,male,thin,33.0,no,no_kids,small,white,casual,white,short_sleeve,black,long,clothes,5,10,no,27.0,0.0,8.0,2.957446652,101.6609054,3.0,2015-10-20 23:08:44,Tuesday,55,5.21
indian,male,moderate,49.0,no,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,38.0,3.0,21.0,2.929765556,101.685258,2.0,2015-10-20 23:08:44,Tuesday,55,5.21
malay,male,thin,42.0,no,no_kids,big,red,casual,brown,long sleeve,black,long,blankets,4,8,no,24.0,3.0,19.0,2.943371984,101.7466686,2.0,2015-10-20 23:15:42,Tuesday,55,5.21
chinese,male,thin,40.0,no,no_kids,small,white,casual,red,short_sleeve,black,long,clothes,3,9,yes,49.0,0.0,21.0,2.93563453,101.6424992,3.0,2015-10-21 12:01:57,Wednesday,10,10.64
malay,female,thin,31.0,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,27.0,1.0,7.0,2.92845186,101.6737553,2.0,2015-10-21 12:32:17,Wednesday,10,10.64
chinese,male,thin,54.0,no,no_kids,small,white,casual,red,short_sleeve,black,long,clothes,3,8,no,15.0,0.0,11.0,2.969405623,101.6598108,2.0,2015-10-21 12:44:01,Wednesday,10,10.64
chinese,female,fat,45.0,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,50.0,5.0,7.0,2.923278148,101.6872035,2.0,2015-10-21 14:18:47,Wednesday,10,10.64
malay,female,moderate,48.0,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,35.0,1.0,13.0,2.933630644,101.7161121,1.0,2015-10-21 14:32:50,Wednesday,10,10.64
malay,female,moderate,42.0,yes,toddler,big,blue,casual,purple,long sleeve,purple,long,blankets,4,8,no,48.0,0.0,12.0,2.96126395,101.6322195,1.0,2015-10-21 15:05:32,Wednesday,10,10.64
malay,female,fat,40.0,no,no_kids,big,white,casual,brown,long sleeve,brown,long,clothes,6,8,no,15.0,0.0,17.0,2.970403509,101.6312264,1.0,2015-10-21 19:35:17,Wednesday,30,10.64
malay,female,moderate,53.0,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,clothes,4,7,yes,26.0,5.0,16.0,2.940293857,101.6527689,2.0,2015-10-21 19:35:17,Wednesday,30,10.64
malay,male,thin,32.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,no,43.0,4.0,18.0,2.90526394,101.6767583,1.0,2015-10-21 21:13:41,Wednesday,40,10.64
chinese,male,moderate,34.0,no,no_kids,big,blue,casual,white,short_sleeve,red,short,clothes,5,9,yes,50.0,3.0,13.0,2.906258654,101.6578782,1.0,2015-10-21 21:13:41,Wednesday,40,10.64
indian,male,thin,35.0,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,46.0,5.0,14.0,2.916636583,101.6540031,2.0,2015-10-21 21:13:41,Wednesday,40,10.64
malay,female,moderate,49.0,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,46.0,3.0,14.0,2.926865293,101.6613881,1.0,2015-10-22 07:31:47,Thursday,35,2.69
malay,female,moderate,55.0,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,58.0,1.0,9.0,2.96568898,101.6499519,3.0,2015-10-22 09:19:35,Thursday,30,2.69
malay,female,fat,33.0,no,no_kids,big,white,casual,blue,long sleeve,black,long,clothes,5,7,no,55.0,2.0,21.0,2.970452804,101.6702865,3.0,2015-10-22 09:19:35,Thursday,30,2.69
malay,male,moderate,55.0,no,no_kids,big,blue,casual,white,short_sleeve,yellow,long,clothes,3,8,yes,37.0,5.0,21.0,2.935513585,101.629123,3.0,2015-10-22 10:08:57,Thursday,25,2.69
malay,male,thin,46.0,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,21.0,1.0,15.0,2.905601006,101.7392814,1.0,2015-10-22 10:50:38,Thursday,25,2.69
malay,male,fat,41.0,no,no_kids,big,white,casual,green,short_sleeve,black,long,clothes,3,10,no,29.0,5.0,15.0,2.93177387,101.6399451,1.0,2015-10-22 13:17:51,Thursday,15,2.69
malay,female,moderate,34.0,no,no_kids,small,white,casual,red,short_sleeve,purple,long,clothes,4,7,no,20.0,2.0,15.0,2.937062467,101.7095382,3.0,2015-10-22 15:10:04,Thursday,15,2.69
malay,female,fat,40.0,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no,30.0,0.0,7.0,2.960587491,101.6462615,2.0,2015-10-22 15:42:25,Thursday,15,2.69
indian,male,fat,44.0,no,no_kids,big,white,casual,white,short_sleeve,grey,short,clothes,5,7,no,25.0,2.0,14.0,2.955890826,101.7137964,1.0,2015-10-22 18:42:40,Thursday,30,2.69
chinese,male,thin,50.0,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,19.0,0.0,13.0,2.942284986,101.6978443,2.0,2015-10-22 19:48:07,Thursday,40,2.69
foreigner ,male,moderate,54.0,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,7,no,23.0,4.0,16.0,2.909529395,101.6997223,1.0,2015-10-22 20:23:30,Thursday,50,2.69
indian,male,fat,47.0,no,no_kids,big,white,casual,blue,short_sleeve,black,short,clothes,6,7,no,15.0,2.0,17.0,2.920905791,101.6378199,1.0,2015-10-22 23:18:33,Thursday,85,2.69
chinese,female,fat,30.0,yes,toddler,big,red,casual,red,short_sleeve,green,short,clothes,6,10,no,22.0,5.0,20.0,2.955510695,101.6774643,2.0,2015-10-23 01:09:08,Friday,55,4.19
indian,female,fat,39.0,no,no_kids,big,white,casual,grey,short_sleeve,black,long,clothes,3,10,no,60.0,0.0,8.0,2.969741447,101.7326093,1.0,2015-10-23 01:52:36,Friday,55,4.19
malay,female,moderate,53.0,yes,toddler,big,white,formal,pink,short_sleeve,black,long,clothes,4,7,no,23.0,3.0,7.0,2.91005925,101.6762791,2.0,2015-10-23 11:17:03,Friday,25,4.19
indian,male,moderate,40.0,no,no_kids,small,green,formal,white,short_sleeve,black,long,clothes,3,9,no,58.0,0.0,21.0,2.942211723,101.6304912,1.0,2015-10-23 11:54:36,Friday,25,4.19
malay,male,moderate,40.0,no,no_kids,big,white,formal,white,short_sleeve,grey,long,clothes,4,10,no,53.0,1.0,8.0,2.942248354,101.6891296,3.0,2015-10-23 11:59:37,Friday,25,4.19
malay,female,thin,52.0,no,no_kids,big,blue,casual,white,short_sleeve,blue,short,clothes,5,8,no,23.0,4.0,16.0,2.906171995,101.7234891,2.0,2015-10-23 12:23:32,Friday,25,4.19
malay,female,fat,39.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,no,13.0,3.0,14.0,2.929545039,101.7080012,1.0,2015-10-23 12:57:44,Friday,25,4.19
malay,female,thin,31.0,no,no_kids,big,white,casual,red,short_sleeve,black,long,clothes,3,7,no,29.0,4.0,14.0,2.936136301,101.7118102,1.0,2015-10-23 15:17:25,Friday,20,4.19
malay,female,thin,28.0,yes,baby,big,white,casual,blue,short_sleeve,black,long,blankets,4,9,no,16.0,5.0,21.0,2.919622323,101.7184368,1.0,2015-10-23 16:11:32,Friday,20,4.19
malay,female,moderate,41.0,no,no_kids,big,green,traditional,blue,long sleeve,blue,long,clothes,4,7,yes,11.0,1.0,9.0,2.94747878,101.7418065,2.0,2015-10-23 16:33:34,Friday,20,4.19
malay,female,moderate,41.0,yes,toddler,big,white,casual,red,short_sleeve,blue_jeans,long,clothes,6,10,no,28.0,3.0,14.0,2.921348541,101.646776,2.0,2015-10-23 17:31:48,Friday,20,4.19
chinese,female,thin,30.0,no,no_kids,big,white,casual,green,short_sleeve,black,long,clothes,6,7,no,25.0,5.0,15.0,2.956082645,101.7154615,2.0,2015-10-23 19:47:39,Friday,30,4.19
chinese,male,moderate,48.0,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,3,9,no,19.0,4.0,13.0,2.949987021,101.6541451,1.0,2015-10-23 19:55:14,Friday,30,4.19
foreigner ,female,thin,39.0,yes,young,big,blue,casual,black,short_sleeve,black,long,clothes,3,9,no,11.0,1.0,20.0,2.938166689,101.6621167,2.0,2015-10-23 21:18:54,Friday,50,4.19
indian,female,fat,40.0,yes,young,big,red,casual,purple,short_sleeve,black,long,clothes,4,10,no,53.0,1.0,18.0,2.916494544,101.7354934,3.0,2015-10-23 22:31:34,Friday,65,4.19
chinese,male,fat,36.0,no,no_kids,big,white,casual,white,short_sleeve,black,short,clothes,3,9,yes,58.0,3.0,19.0,2.918699478,101.6941536,1.0,2015-10-24 00:18:48,Saturday,95,15.3
malay,male,thin,42.0,no,no_kids,big,white,casual,yellow,short_sleeve,black,long,clothes,4,7,yes,22.0,5.0,8.0,2.943783594,101.731658,2.0,2015-10-24 06:44:22,Saturday,40,15.3
chinese,female,moderate,39.0,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,6,9,no,28.0,4.0,15.0,2.972629888,101.7191107,2.0,2015-10-24 06:56:49,Saturday,40,15.3
indian,female,thin,41.0,no,no_kids,big,green,casual,white,short_sleeve,grey,long,clothes,6,9,no,48.0,0.0,11.0,2.911565983,101.7095475,3.0,2015-10-24 09:07:33,Saturday,25,15.3
malay,female,moderate,50.0,no,no_kids,big,red,casual,brown,long sleeve,brown,long,blankets,3,7,no,36.0,0.0,13.0,2.93940093,101.6495988,2.0,2015-10-24 09:22:05,Saturday,25,15.3
malay,female,moderate,48.0,no,no_kids,big,white,casual,red,long sleeve,black,long,clothes,6,9,no,57.0,3.0,10.0,2.971197986,101.6686288,3.0,2015-10-24 09:23:10,Saturday,25,15.3
malay,male,moderate,51.0,no,no_kids,small,white,casual,blue,short_sleeve,black,long,clothes,6,10,no,45.0,0.0,11.0,2.938586136,101.6421316,2.0,2015-10-24 09:24:29,Saturday,25,15.3
chinese,female,thin,54.0,no,no_kids,big,red,casual,white,short_sleeve,brown,short,clothes,6,9,no,11.0,5.0,7.0,2.96041273,101.6703822,2.0,2015-10-24 10:30:48,Saturday,25,15.3
malay,male,thin,50.0,yes,toddler,big,black,casual,black,short_sleeve,blue,long,clothes,4,10,no,21.0,5.0,13.0,2.971906764,101.7333458,1.0,2015-10-24 10:30:48,Saturday,25,15.3
malay,male,fat,41.0,yes,young,big,blue,casual,orange,short_sleeve,grey,short,clothes,6,10,no,59.0,1.0,15.0,2.904171206,101.7115568,1.0,2015-10-24 11:32:11,Saturday,25,15.3
chinese,male,thin,53.0,yes,baby,big,blue,casual,black,short_sleeve,grey,long,blankets,6,7,yes,17.0,3.0,10.0,2.908187096,101.6391063,2.0,2015-10-24 12:14:54,Saturday,30,15.3
chinese,male,moderate,53.0,yes,young,small,white,casual,red,short_sleeve,brown,short,clothes,6,10,no,29.0,0.0,10.0,2.932600311,101.6594659,1.0,2015-10-24 12:37:44,Saturday,30,15.3
chinese,male,moderate,51.0,no,no_kids,big,black,casual,red,short_sleeve,blue_jeans,long,clothes,6,7,no,38.0,4.0,14.0,2.931545986,101.6823876,2.0,2015-10-24 13:05:01,Saturday,30,15.3
malay,female,moderate,32.0,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,4,8,yes,48.0,1.0,13.0,2.971431589,101.7405171,1.0,2015-10-24 13:30:48,Saturday,30,15.3
malay,female,thin,52.0,no,no_kids,big,white,casual,red,short_sleeve,black,long,clothes,5,9,no,58.0,1.0,12.0,2.912918927,101.7331987,3.0,2015-10-24 13:37:15,Saturday,30,15.3
malay,male,moderate,31.0,no,no_kids,big,red,casual,brown,short_sleeve,white,long,clothes,4,10,no,56.0,1.0,17.0,2.914610198,101.6718867,1.0,2015-10-24 14:07:01,Saturday,35,15.3
indian,female,moderate,54.0,no,no_kids,small,white,casual,white,short_sleeve,black,long,clothes,5,10,no,11.0,5.0,17.0,2.955138899,101.6788419,3.0,2015-10-24 14:28:38,Saturday,35,15.3
foreigner ,male,thin,47.0,no,no_kids,big,blue,casual,blue,short_sleeve,black,long,clothes,6,7,no,22.0,0.0,14.0,2.959588224,101.7137654,2.0,2015-10-24 14:39:02,Saturday,35,15.3
indian,female,thin,50.0,no,no_kids,big,black,casual,white,short_sleeve,black,long,clothes,4,8,no,19.0,3.0,17.0,2.959252251,101.666786,3.0,2015-10-24 14:55:41,Saturday,35,15.3
chinese,female,thin,51.0,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,3,8,no,14.0,2.0,7.0,2.965380492,101.6358077,1.0,2015-10-24 15:30:07,Saturday,35,15.3
chinese,male,moderate,37.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,4,7,yes,16.0,1.0,20.0,2.934599617,101.6622515,1.0,2015-10-24 15:30:07,Saturday,35,15.3
malay,female,moderate,40.0,no,no_kids,big,red,formal,red,long sleeve,blue_jeans,long,clothes,5,10,no,37.0,2.0,10.0,2.913977854,101.7214809,1.0,2015-10-24 17:07:48,Saturday,35,15.3
malay,male,thin,41.0,no,no_kids,big,blue,casual,red,short_sleeve,black,long,clothes,3,7,yes,53.0,2.0,7.0,2.963450278,101.6887548,3.0,2015-10-24 19:39:23,Saturday,45,15.3
chinese,female,moderate,40.0,no,no_kids,big,black,casual,black,short_sleeve,white,long,clothes,4,10,no,34.0,4.0,8.0,2.935396969,101.742992,1.0,2015-10-24 19:39:23,Saturday,45,15.3
malay,male,thin,41.0,no,no_kids,big,blue,casual,black,short_sleeve,blue_jeans,long,blankets,4,9,no,16.0,2.0,15.0,2.958858058,101.6947694,1.0,2015-10-24 20:03:39,Saturday,55,15.3
malay,female,fat,29.0,no,no_kids,big,pink,casual,grey,short_sleeve,blue,long,clothes,3,8,yes,45.0,1.0,9.0,2.935001243,101.6394673,3.0,2015-10-24 20:59:01,Saturday,55,15.3
malay,female,fat,45.0,no,no_kids,big,black,casual,blue,short_sleeve,black,long,clothes,5,7,no,42.0,2.0,8.0,2.934964024,101.7319388,3.0,2015-10-24 20:59:01,Saturday,55,15.3
malay,female,fat,54.0,no,no_kids,big,white,casual,blue,short_sleeve,brown,long,clothes,3,7,no,50.0,5.0,14.0,2.934500834,101.6301718,2.0,2015-10-24 20:59:01,Saturday,55,15.3
indian,male,moderate,45.0,no,no_kids,big,white,casual,red,short_sleeve,green,long,clothes,6,9,no,55.0,1.0,14.0,2.945916206,101.7466365,3.0,2015-10-24 21:06:04,Saturday,75,15.3
malay,male,fat,50.0,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,7,yes,53.0,5.0,21.0,2.954296233,101.7289079,2.0,2015-10-24 21:45:54,Saturday,75,15.3
chinese,female,thin,34.0,no,no_kids,big,pink,formal,white,short_sleeve,blue,long,clothes,6,8,no,24.0,5.0,17.0,2.907214587,101.7204091,1.0,2015-10-24 23:32:46,Saturday,100,15.3
indian,male,thin,46.0,no,no_kids,big,blue,casual,blue,short_sleeve,brown,short,clothes,4,10,no,52.0,3.0,14.0,2.934446367,101.7068809,3.0,2015-10-24 23:40:46,Saturday,100,15.3
malay,male,fat,42.0,no,no_kids,big,black,casual,red,short_sleeve,black,long,blankets,4,7,no,39.0,3.0,7.0,2.914232837,101.6770645,1.0,2015-10-25 00:08:09,Sunday,65,9.09
chinese,female,fat,54.0,no,no_kids,big,brown,casual,white,short_sleeve,black,long,clothes,3,7,no,29.0,5.0,8.0,2.969853108,101.7228356,1.0,2015-10-25 01:29:47,Sunday,70,9.09
chinese,male,thin,38.0,no,no_kids,big,red,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,24.0,3.0,14.0,2.930409306,101.6978024,2.0,2015-10-25 08:15:00,Sunday,60,9.09
malay,female,moderate,47.0,no,no_kids,big,purple,casual,blue,long sleeve,black,long,clothes,6,10,yes,13.0,4.0,16.0,2.921285236,101.7428619,3.0,2015-10-26 08:40:01,Monday,45,7.57
malay,female,fat,46.0,no,no_kids,big,white,casual,purple,long sleeve,pink,long,clothes,5,8,no,43.0,3.0,7.0,2.903899253,101.7467809,3.0,2015-10-26 08:40:01,Monday,45,7.57
malay,male,moderate,41.0,yes,baby,big,green,casual,black,short_sleeve,grey,long,clothes,3,9,no,13.0,2.0,10.0,2.918568826,101.6655585,3.0,2015-10-26 08:40:01,Monday,45,7.57
indian,male,moderate,41.0,no,no_kids,big,white,casual,black,short_sleeve,blue,long,clothes,6,7,no,26.0,1.0,10.0,2.917723073,101.7385997,1.0,2015-10-26 09:15:05,Monday,40,7.57
chinese,female,moderate,42.0,no,no_kids,small,black,casual,purple,short_sleeve,purple,long,clothes,6,8,no,35.0,3.0,11.0,2.948750936,101.6883207,2.0,2015-10-29 21:19:48,Thursday,65,4.8
chinese,female,fat,32.0,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,5,10,no,44.0,2.0,14.0,2.94215071,101.6661886,3.0,2015-10-29 21:28:23,Thursday,65,4.8
foreigner ,female,fat,45.0,no,no_kids,big,purple,casual,red,short_sleeve,black,long,clothes,6,10,no,37.0,2.0,18.0,2.91708056,101.7063833,3.0,2015-10-29 21:30:29,Thursday,65,4.8
malay,female,fat,47.0,no,no_kids,big,grey,casual,black,long sleeve,white,long,clothes,4,10,no,16.0,3.0,8.0,2.932200514,101.6887817,2.0,2015-10-29 21:59:25,Thursday,65,4.8
malay,female,moderate,44.0,no,no_kids,big,white,casual,black,long sleeve,black,long,clothes,6,7,no,25.0,4.0,12.0,2.970728476,101.7225717,3.0,2015-10-29 21:59:25,Thursday,65,4.8
indian,male,fat,38.0,no,no_kids,big,red,casual,blue,short_sleeve,white,long,clothes,6,10,no,51.0,1.0,18.0,2.960950706,101.7416634,1.0,2015-10-29 22:38:51,Thursday,80,4.8
malay,male,thin,49.0,no,no_kids,big,green,formal,white,long sleeve,black,long,clothes,5,8,no,16.0,0.0,8.0,2.930343851,101.6973027,1.0,2015-10-30 18:53:06,Friday,20,11.2
malay,female,moderate,47.0,no,no_kids,big,white,casual,black,short_sleeve,blue,long,clothes,4,10,no,23.0,1.0,16.0,2.951659203,101.7083832,3.0,2015-11-01 06:44:39,Sunday,70,3.56
indian,male,thin,52.0,no,no_kids,big,yellow,casual,red,short_sleeve,purple,short,clothes,4,8,no,32.0,5.0,16.0,2.923524901,101.7374016,2.0,2015-11-01 07:49:27,Sunday,65,3.56
foreigner ,male,thin,44.0,no,no_kids,big,white,casual,orange,long sleeve,black,long,clothes,3,9,no,11.0,4.0,8.0,2.943017762,101.7169631,1.0,2015-11-02 13:32:51,Wednesday,10,2.38
indian,male,moderate,50.0,no,no_kids,small,black,casual,black,short_sleeve,black,long,clothes,6,10,no,26.0,3.0,12.0,2.927838796,101.6800139,2.0,2015-11-02 13:54:53,Wednesday,10,2.38
malay,female,fat,34.0,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,3,7,no,22.0,5.0,16.0,2.943391953,101.6838972,1.0,2015-11-02 14:29:06,Wednesday,10,2.38
malay,female,moderate,53.0,no,no_kids,big,white,formal,black,long sleeve,black,long,clothes,6,7,no,22.0,0.0,15.0,2.955817524,101.6291738,3.0,2015-11-02 14:40:43,Wednesday,10,2.38
indian,female,thin,36.0,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,4,8,no,17.0,4.0,19.0,2.908471426,101.6472248,2.0,2015-11-02 15:15:59,Wednesday,10,2.38
malay,female,fat,44.0,no,no_kids,big,white,traditional,white,short_sleeve,white,long,clothes,6,9,yes,30.0,5.0,10.0,2.944287621,101.7450908,3.0,2015-11-02 17:19:17,Wednesday,15,2.38
malay,female,fat,55.0,no,no_kids,big,red,traditional,purple,long sleeve,purple,long,clothes,3,7,no,28.0,3.0,18.0,2.951148551,101.6999127,3.0,2015-11-02 17:23:07,Wednesday,15,2.38
malay,female,fat,50.0,no,no_kids,big,red,traditional,red,long sleeve,red,long,clothes,5,9,yes,19.0,0.0,15.0,2.938080613,101.6446418,3.0,2015-11-02 17:23:07,Wednesday,15,2.38
indian,female,thin,28.0,no,no_kids,big,black,casual,black,short_sleeve,black,long,blankets,4,8,no,19.0,0.0,11.0,2.968831167,101.6437951,3.0,2015-11-02 17:47:23,Wednesday,15,2.38
